Nº de Encuesta	Fecha de la  Aplicación de la Encuesta	Hora Inicio	"Condición del Encuestado Usuario (1)
Acompañante (2)"	Edad en años	Sexo M(1) F(2)	Nivel de Estudio Analfabeto (1) Primaria (2) Secundaria(3) Superior Tecnico(4) Superior Universitario (5)	"¿Tipo de seguro por el cual se atiende? 
SIS (1)
SOAT (2),
Ninguno (3)
Otro (4)"	"Tipo de paciente
 Nuevo (1),
Continuador (2)"	Especialidad donde fue atendido	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	E16	E17	E18	E19	E20	E21	E22	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	Hora Final	Encuestadora	Duracion									
68	2019/10/10	11:10	2	33	2	4	1	2	CM-MF	6	6	6	5	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	6	6	6	6	6	5	6	99	6	99	6	6	7	6	6	7	6	6	6	6	6	6	5	11:20	RLN	00:10									
69	2019/10/11	12:51	2	44	2	3	1	2	CM-CA	7	6	6	7	7	6	6	6	6	7	7	7	7	7	7	7	7	7	7	6	7	6	3	6	6	3	3	5	6	3	4	6	6	6	6	6	6	6	6	6	4	4	6	5	13:03	LCG	00:12									
70	2019/10/11	12:36	2	37	2	3	1	2	CC-TR	7	6	6	7	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	6	7	6	7	5	7	7	5	3	99	99	6	7	7	7	7	7	7	7	7	7	6	5	6	5	12:50	LCG	00:14									
71	2019/10/11	13:05	2	38	2	4	3	2	CC-CP	7	7	7	7	7	7	7	7	7	7	7	6	6	6	6	6	6	6	6	7	7	7	6	6	6	6	6	4	4	4	5	6	6	6	6	6	6	6	6	6	5	5	6	4	13:18	LCG	00:13									
72	2019/10/11	10:02	2	33	2	2	3	2	C-PS	6	6	6	6	7	6	6	6	7	7	6	6	6	7	7	7	7	6	6	7	6	6	7	7	6	5	4	7	99	99	99	6	7	6	6	7	7	6	7	99	7	6	7	6	10:15	SNR	00:13									
73	2019/10/11	10:18	2	46	2	3	1	2	C-PS	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5	6	6	4	6	6	99	99	99	5	5	6	6	7	6	6	5	5	6	6	6	5	10:29	SNR	00:11									
74	2019/10/11	10:53	2	50	2	3	1	2	CC-TR	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	4	5	3	4	5	5	4	4	5	6	5	5	5	6	5	5	6	5	4	5	5	4	11:05	SNR	00:12									
75	2019/10/11	10:34	2	40	2	3	3	2	CM-MA	6	5	6	5	5	5	6	5	5	6	6	6	5	5	6	6	6	5	6	6	7	5	6	7	6	6	5	6	99	99	99	6	6	6	7	7	6	6	5	6	7	7	6	5	10:46	SNR	00:12									
76	2019/10/11	10:19	2	34	2	2	1	2	C-MEA	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	4	5	5	6	4	99	99	99	6	6	4	5	6	5	6	6	6	6	7	6	5	10:30	SNR	00:11									
77	2019/10/11	11:11	2	26	2	2	1	2	CC-OT	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5	6	7	3	4	6	99	7	5	7	7	7	6	6	7	6	6	7	5	5	4	4	11:22	SNR	00:11									
78	2019/10/11	12:08	2	39	2	4	3	2	CC-GN	5	6	5	5	6	7	5	5	5	4	4	4	5	5	6	5	5	6	4	4	5	5	7	6	5	6	5	6	99	6	5	6	6	6	6	6	6	6	6	7	7	6	7	7	12:20	SNR	00:12									
79	2019/10/11	11:50	2	38	2	3	3	2	CM-MF	7	7	7	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	7	6	7	7	7	5	6	99	6	99	6	6	7	6	6	7	6	6	5	6	7	6	5	12:02	SNR	00:12									
80	2019/10/11	12:23	2	22	2	3	1	2	CM-DE	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5	4	6	3	6	4	7	99	5	6	6	6	4	4	5	6	6	6	4	6	4	6	12:35	SNR	00:12									
81	2019/10/11	12:22	2	34	1	3	1	2	C-MEA	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	6	5	6	7	7	7	99	99	99	7	7	6	7	4	7	7	7	99	4	6	6	6	12:33	RLN	00:11									
82	2019/10/11	11:55	2	22	2	3	1	2	CM-P2D	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	7	7	5	4	5	99	4	6	6	6	6	6	6	6	6	6	6	5	6	6	12:05	RLN	00:10									
83	2019/10/11	12:10	2	25	2	3	1	2	C-PC	6	6	6	7	5	5	5	5	5	6	7	6	6	6	7	6	6	6	5	6	6	6	6	6	7	7	5	5	99	99	99	6	6	7	7	7	7	7	99	99	5	5	6	5	12:20	RLN	00:10									
84	2019/10/11	11:30	2	32	2	3	1	2	CM-P1A	5	6	7	7	6	6	6	6	6	6	7	7	7	6	7	7	7	7	5	6	7	6	6	6	6	6	5	5	5	99	5	6	6	6	6	6	6	6	6	6	6	6	6	6	11:40	RLN	00:10									
85	2019/10/11	11:42	2	25	2	3	1	2	CM-NRP	6	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	6	6	5	6	6	6	6	6	5	6	2	4	4	4	4	7	6	6	6	6	6	6	6	6	6	4	6	6	11:53	RLN	00:11									
86	2019/10/11	11:15	2	37	2	3	3	2	CC-OF	7	6	6	6	6	5	3	5	5	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5	6	6	4	5	99	99	99	7	6	6	6	6	7	7	7	7	6	4	6	6	11:27	RLN	00:12									
87	2019/10/11	10:55	2	41	2	3	3	2	CM-GT	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5	6	7	7	6	7	99	6	7	7	6	7	7	7	7	7	6	7	6	6	7	11:06	RLN	00:11									
88	2019/10/11	10:40	2	47	2	3	1	2	CM-GT	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	5	5	3	4	5	99	4	6	5	5	6	5	6	6	5	5	5	5	6	6	10:51	RLN	00:11									
89	2019/10/11	09:48	2	39	2	3	3	2	C-OO	5	6	7	7	5	5	4	5	4	7	7	7	7	7	7	7	7	7	6	7	6	6	6	5	6	6	5	5	99	6	99	7	6	7	6	5	6	6	6	6	7	5	5	5	09:59	RLN	00:11									
90	2019/10/14	11:41	2	40	2	4	1	2	CM-DE	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	6	6	99	99	99	6	5	6	6	6	7	7	7	7	7	7	6	6	11:51	SNR	00:10									
91	2019/10/14	11:25	2	31	2	2	3	2	CM-P2B	6	5	6	7	6	6	6	5	6	6	6	7	7	7	6	7	7	7	7	6	6	6	4	6	5	4	4	5	5	5	6	6	5	3	4	5	6	4	4	5	5	6	5	4	11:37	SNR	00:12									
